product_id,product_name,category,price,supplier_id
P12345,Widget A,Gadgets,29.99,S123
P12346,Widget B,Electronics,49.99,S124
P12347,Widget C,Tools,39.99,S125
P12348,Widget D,Home Appliances,99.99,S126
P12349,Widget E,Gadgets,19.99,S127
P12350,Widget F,Electronics,59.99,S128
P12351,Widget G,Tools,24.99,S129
P12352,Widget H,Home Appliances,34.99,S130
P12353,Widget I,Gadgets,79.99,S131
P12354,Widget J,Electronics,14.99,S132
P12355,Widget K,Tools,44.99,S133
P12356,Widget L,Home Appliances,69.99,S134
P12357,Widget M,Gadgets,29.99,S135
P12358,Widget N,Electronics,129.99,S136
P12359,Widget O,Tools,34.99,S137
P12360,Widget P,Home Appliances,79.99,S138
P12361,Widget Q,Gadgets,19.99,S139
P12362,Widget R,Electronics,24.99,S140
P12363,Widget S,Tools,89.99,S141
P12364,Widget T,Home Appliances,9.99,S142
